resolution,jobs,time (seconds)
100x100,1,73
10x10,1,0
20x20,1,2
30x30,1,3
40x40,1,7
50x50,1,13
60x60,1,19
70x70,1,29
80x80,1,39
90x90,1,63
100x100,2,67
10x10,2,0
20x20,2,1
30x30,2,3
40x40,2,6
50x50,2,11
60x60,2,17
70x70,2,26
80x80,2,33
90x90,2,52
100x100,3,64
10x10,3,1
20x20,3,1
30x30,3,3
40x40,3,5
50x50,3,11
60x60,3,17
70x70,3,24
80x80,3,34
90x90,3,48
100x100,4,62
10x10,4,1
20x20,4,1
30x30,4,3
40x40,4,5
50x50,4,11
60x60,4,16
70x70,4,24
80x80,4,32
90x90,4,57
100x100,1,72
10x10,1,1
20x20,1,1
30x30,1,4
40x40,1,7
50x50,1,12
60x60,1,20
70x70,1,29
80x80,1,39
90x90,1,56
100x100,2,64
10x10,2,0
20x20,2,2
30x30,2,3
40x40,2,5
50x50,2,11
60x60,2,17
70x70,2,25
80x80,2,33
90x90,2,53
100x100,3,61
10x10,3,0
20x20,3,2
30x30,3,2
40x40,3,6
50x50,3,10
60x60,3,17
70x70,3,25
80x80,3,34
90x90,3,52
100x100,4,62
10x10,4,1
20x20,4,1
30x30,4,3
40x40,4,5
50x50,4,10
60x60,4,16
70x70,4,24
80x80,4,32
90x90,4,52
100x100,1,72
10x10,1,0
20x20,1,2
30x30,1,4
40x40,1,7
50x50,1,12
60x60,1,20
70x70,1,30
80x80,1,40
90x90,1,60
100x100,2,65
10x10,2,0
20x20,2,2
30x30,2,3
40x40,2,5
50x50,2,11
60x60,2,16
70x70,2,25
80x80,2,34
90x90,2,48
100x100,3,62
10x10,3,1
20x20,3,1
30x30,3,3
40x40,3,6
50x50,3,11
60x60,3,16
70x70,3,26
80x80,3,34
90x90,3,50
100x100,4,63
10x10,4,0
20x20,4,1
30x30,4,3
40x40,4,5
50x50,4,10
60x60,4,16
70x70,4,24
80x80,4,33
90x90,4,54
100x100,1,71
10x10,1,0
20x20,1,2
30x30,1,3
40x40,1,7
50x50,1,13
60x60,1,20
70x70,1,30
80x80,1,39
90x90,1,55
100x100,2,67
10x10,2,1
20x20,2,1
30x30,2,3
40x40,2,6
50x50,2,10
60x60,2,17
70x70,2,25
80x80,2,35
90x90,2,47
100x100,3,63
10x10,3,0
20x20,3,1
30x30,3,3
40x40,3,5
50x50,3,11
60x60,3,16
70x70,3,25
80x80,3,33
90x90,3,50
100x100,4,63
10x10,4,1
20x20,4,1
30x30,4,3
40x40,4,5
50x50,4,10
60x60,4,16
70x70,4,25
80x80,4,32
90x90,4,46
100x100,1,72
10x10,1,1
20x20,1,1
30x30,1,4
40x40,1,7
50x50,1,12
60x60,1,21
70x70,1,29
80x80,1,39
90x90,1,58
100x100,2,64
10x10,2,1
20x20,2,1
30x30,2,3
40x40,2,6
50x50,2,10
60x60,2,17
70x70,2,27
80x80,2,34
90x90,2,47
100x100,3,65
10x10,3,0
20x20,3,1
30x30,3,3
40x40,3,6
50x50,3,10
60x60,3,17
70x70,3,25
80x80,3,34
90x90,3,52
100x100,4,65
10x10,4,0
20x20,4,1
30x30,4,3
40x40,4,5
50x50,4,10
60x60,4,17
70x70,4,24
80x80,4,33
90x90,4,44
100x100,1,74
10x10,1,0
20x20,1,2
30x30,1,4
40x40,1,6
50x50,1,13
60x60,1,20
70x70,1,29
80x80,1,39
90x90,1,58
100x100,2,66
10x10,2,1
20x20,2,1
30x30,2,3
40x40,2,6
50x50,2,11
60x60,2,17
70x70,2,26
80x80,2,34
90x90,2,47
100x100,3,62
10x10,3,1
20x20,3,1
30x30,3,3
40x40,3,5
50x50,3,11
60x60,3,17
70x70,3,25
80x80,3,33
90x90,3,51
100x100,4,64
10x10,4,0
20x20,4,1
30x30,4,3
40x40,4,5
50x50,4,10
60x60,4,16
70x70,4,25
80x80,4,33
