resolution,jobs,time (seconds)
100x100,1,144
10x10,1,1
20x20,1,5
30x30,1,10
40x40,1,18
50x50,1,30
60x60,1,46
70x70,1,64
80x80,1,85
90x90,1,120
100x100,2,103
10x10,2,1
20x20,2,3
30x30,2,6
40x40,2,12
50x50,2,20
60x60,2,30
70x70,2,44
80x80,2,58
90x90,2,88
100x100,3,103
10x10,3,1
20x20,3,3
30x30,3,6
40x40,3,11
50x50,3,21
60x60,3,30
70x70,3,44
80x80,3,61
90x90,3,78
100x100,4,101
10x10,4,1
20x20,4,3
30x30,4,6
40x40,4,11
50x50,4,21
60x60,4,30
70x70,4,42
80x80,4,59
90x90,4,78
100x100,1,143
10x10,1,1
20x20,1,4
30x30,1,10
40x40,1,18
50x50,1,31
60x60,1,46
70x70,1,65
80x80,1,85
90x90,1,119
100x100,2,103
10x10,2,0
20x20,2,3
30x30,2,7
40x40,2,11
50x50,2,20
60x60,2,31
70x70,2,44
80x80,2,59
90x90,2,81
100x100,3,104
10x10,3,1
20x20,3,3
30x30,3,6
40x40,3,12
50x50,3,21
60x60,3,32
70x70,3,44
80x80,3,58
90x90,3,82
100x100,4,100
10x10,4,1
20x20,4,3
30x30,4,6
40x40,4,11
50x50,4,20
60x60,4,31
70x70,4,44
80x80,4,59
90x90,4,80
100x100,1,144
10x10,1,1
20x20,1,4
30x30,1,10
40x40,1,18
50x50,1,31
60x60,1,45
70x70,1,64
80x80,1,85
90x90,1,117
100x100,2,102
10x10,2,1
20x20,2,3
30x30,2,6
40x40,2,12
50x50,2,20
60x60,2,30
70x70,2,44
80x80,2,59
90x90,2,85
100x100,3,105
10x10,3,1
20x20,3,3
30x30,3,6
40x40,3,12
50x50,3,21
60x60,3,31
70x70,3,43
80x80,3,59
90x90,3,93
100x100,4,100
10x10,4,1
20x20,4,2
30x30,4,7
40x40,4,11
50x50,4,21
60x60,4,30
70x70,4,44
80x80,4,59
90x90,4,87
100x100,1,145
10x10,1,2
20x20,1,4
30x30,1,10
40x40,1,18
50x50,1,30
60x60,1,50
70x70,1,63
80x80,1,85
90x90,1,120
100x100,2,102
10x10,2,1
20x20,2,3
30x30,2,6
40x40,2,11
50x50,2,21
60x60,2,31
70x70,2,42
80x80,2,58
90x90,2,77
100x100,3,103
10x10,3,1
20x20,3,3
30x30,3,6
40x40,3,12
50x50,3,20
60x60,3,31
70x70,3,43
80x80,3,60
90x90,3,86
100x100,4,102
10x10,4,1
20x20,4,3
30x30,4,6
40x40,4,12
50x50,4,21
60x60,4,31
70x70,4,43
80x80,4,61
90x90,4,78
100x100,1,143
10x10,1,1
20x20,1,4
30x30,1,10
40x40,1,18
50x50,1,30
60x60,1,45
70x70,1,64
80x80,1,90
90x90,1,121
100x100,2,103
10x10,2,1
20x20,2,3
30x30,2,6
40x40,2,11
50x50,2,20
60x60,2,30
70x70,2,45
80x80,2,56
90x90,2,85
100x100,3,104
10x10,3,1
20x20,3,3
30x30,3,6
40x40,3,11
50x50,3,20
60x60,3,30
70x70,3,42
80x80,3,59
90x90,3,82
100x100,4,100
10x10,4,1
20x20,4,2
30x30,4,7
40x40,4,11
50x50,4,20
60x60,4,30
70x70,4,44
80x80,4,57
90x90,4,87
100x100,1,144
10x10,1,1
20x20,1,5
30x30,1,9
40x40,1,18
50x50,1,31
60x60,1,47
70x70,1,63
80x80,1,85
90x90,1,123
100x100,2,102
