resolution,jobs,time (seconds)
100x100,1,114
10x10,1,1
20x20,1,7
30x30,1,9
40x40,1,14
50x50,1,23
60x60,1,36
70x70,1,51
80x80,1,68
90x90,1,98
100x100,2,92
10x10,2,1
20x20,2,2
30x30,2,5
40x40,2,9
50x50,2,17
60x60,2,25
70x70,2,36
80x80,2,50
90x90,2,67
100x100,3,86
10x10,3,0
20x20,3,3
30x30,3,5
40x40,3,9
50x50,3,17
60x60,3,26
70x70,3,36
80x80,3,52
90x90,3,74
100x100,4,85
10x10,4,0
20x20,4,3
30x30,4,5
40x40,4,8
50x50,4,17
60x60,4,25
70x70,4,37
80x80,4,48
90x90,4,77
100x100,1,116
10x10,1,1
20x20,1,5
30x30,1,11
40x40,1,13
50x50,1,24
60x60,1,35
70x70,1,50
80x80,1,68
90x90,1,100
100x100,2,89
10x10,2,0
20x20,2,3
30x30,2,5
40x40,2,9
50x50,2,16
60x60,2,25
70x70,2,38
80x80,2,49
90x90,2,66
100x100,3,89
10x10,3,0
20x20,3,3
30x30,3,5
40x40,3,9
50x50,3,17
60x60,3,25
70x70,3,35
80x80,3,50
90x90,3,75
100x100,4,84
10x10,4,1
20x20,4,2
30x30,4,5
40x40,4,9
50x50,4,17
60x60,4,26
70x70,4,36
80x80,4,51
90x90,4,70
100x100,1,116
10x10,1,1
20x20,1,4
30x30,1,7
40x40,1,13
50x50,1,24
60x60,1,35
70x70,1,50
80x80,1,67
90x90,1,99
100x100,2,88
10x10,2,1
20x20,2,2
30x30,2,5
40x40,2,10
50x50,2,16
60x60,2,25
70x70,2,37
80x80,2,49
90x90,2,66
100x100,3,89
10x10,3,1
20x20,3,2
30x30,3,5
40x40,3,9
50x50,3,17
60x60,3,26
70x70,3,36
80x80,3,50
90x90,3,70
100x100,4,87
10x10,4,1
20x20,4,2
30x30,4,5
40x40,4,9
50x50,4,16
60x60,4,25
70x70,4,36
80x80,4,49
90x90,4,69
100x100,1,117
10x10,1,1
20x20,1,3
30x30,1,7
40x40,1,14
50x50,1,23
60x60,1,35
70x70,1,51
80x80,1,67
90x90,1,95
100x100,2,86
10x10,2,0
20x20,2,2
30x30,2,5
40x40,2,9
50x50,2,17
60x60,2,25
70x70,2,36
80x80,2,50
90x90,2,70
100x100,3,87
10x10,3,1
20x20,3,2
30x30,3,5
40x40,3,9
50x50,3,18
60x60,3,25
70x70,3,36
80x80,3,50
90x90,3,73
100x100,4,87
10x10,4,1
20x20,4,2
30x30,4,5
40x40,4,9
50x50,4,16
60x60,4,25
70x70,4,36
80x80,4,47
90x90,4,71
100x100,1,115
10x10,1,1
20x20,1,3
30x30,1,7
40x40,1,14
50x50,1,24
60x60,1,35
70x70,1,51
80x80,1,68
90x90,1,98
100x100,2,88
10x10,2,0
20x20,2,2
30x30,2,5
40x40,2,10
50x50,2,16
60x60,2,25
70x70,2,36
80x80,2,49
90x90,2,73
100x100,3,87
10x10,3,1
20x20,3,2
30x30,3,5
40x40,3,9
50x50,3,17
60x60,3,25
70x70,3,37
80x80,3,49
90x90,3,66
100x100,4,87
10x10,4,0
20x20,4,2
30x30,4,5
40x40,4,9
50x50,4,17
60x60,4,25
70x70,4,35
80x80,4,49
90x90,4,66
100x100,1,113
10x10,1,1
20x20,1,4
30x30,1,7
40x40,1,13
50x50,1,24
60x60,1,35
70x70,1,50
80x80,1,66
90x90,1,99
100x100,2,86
10x10,2,0
20x20,2,3
30x30,2,5
40x40,2,9
50x50,2,16
60x60,2,26
70x70,2,37
80x80,2,49
90x90,2,72
100x100,3,85
10x10,3,0
20x20,3,2
30x30,3,5
40x40,3,9
50x50,3,17
60x60,3,25
70x70,3,36
80x80,3,49
90x90,3,65
100x100,4,85
10x10,4,1
20x20,4,2
30x30,4,5
40x40,4,9
50x50,4,16
60x60,4,25
70x70,4,36
80x80,4,50
90x90,4,73
100x100,1,115
10x10,1,1
20x20,1,3
30x30,1,7
40x40,1,14
50x50,1,24
60x60,1,35
70x70,1,49
80x80,1,67
90x90,1,90
100x100,2,86
10x10,2,0
20x20,2,3
30x30,2,5
40x40,2,9
50x50,2,16
60x60,2,25
70x70,2,36
80x80,2,47
90x90,2,73
100x100,3,87
10x10,3,1
20x20,3,2
30x30,3,5
40x40,3,9
50x50,3,17
60x60,3,25
70x70,3,36
80x80,3,50
90x90,3,68
100x100,4,87
10x10,4,1
20x20,4,2
30x30,4,5
40x40,4,9
50x50,4,17
60x60,4,25
70x70,4,38
80x80,4,48
90x90,4,68
100x100,1,115
10x10,1,1
20x20,1,3
30x30,1,8
40x40,1,13
50x50,1,24
60x60,1,35
70x70,1,51
80x80,1,67
90x90,1,95
100x100,2,86
10x10,2,1
20x20,2,2
30x30,2,5
40x40,2,9
50x50,2,17
60x60,2,25
70x70,2,35
80x80,2,49
90x90,2,74
100x100,3,86
10x10,3,1
20x20,3,2
30x30,3,5
40x40,3,9
50x50,3,17
60x60,3,25
70x70,3,37
80x80,3,49
90x90,3,67
100x100,4,87
10x10,4,0
20x20,4,3
30x30,4,5
40x40,4,9
50x50,4,16
60x60,4,25
70x70,4,37
80x80,4,50
90x90,4,72
100x100,1,115
10x10,1,1
20x20,1,3
30x30,1,8
40x40,1,15
50x50,1,25
60x60,1,35
70x70,1,51
80x80,1,66
90x90,1,97
100x100,2,84
10x10,2,1
20x20,2,2
30x30,2,5
40x40,2,9
50x50,2,17
60x60,2,26
70x70,2,37
80x80,2,49
90x90,2,63
100x100,3,87
10x10,3,1
20x20,3,2
30x30,3,5
40x40,3,9
50x50,3,17
60x60,3,25
70x70,3,36
80x80,3,49
90x90,3,78
100x100,4,87
10x10,4,0
20x20,4,3
30x30,4,5
40x40,4,9
50x50,4,16
60x60,4,25
70x70,4,36
80x80,4,48
90x90,4,74
100x100,1,116
10x10,1,1
20x20,1,3
30x30,1,8
40x40,1,13
50x50,1,24
60x60,1,35
70x70,1,50
80x80,1,67
90x90,1,97
100x100,2,85
10x10,2,0
20x20,2,2
30x30,2,5
40x40,2,9
50x50,2,17
60x60,2,24
70x70,2,36
80x80,2,48
90x90,2,73
100x100,3,86
10x10,3,1
20x20,3,2
30x30,3,5
40x40,3,9
50x50,3,17
60x60,3,25
70x70,3,36
80x80,3,49
90x90,3,66
100x100,4,85
10x10,4,0
20x20,4,3
30x30,4,5
40x40,4,8
50x50,4,17
60x60,4,25
70x70,4,36
80x80,4,49
90x90,4,64
