resolution,jobs,time (seconds)
100x100,1,132
10x10,1,1
20x20,1,5
30x30,1,9
40x40,1,16
50x50,1,28
60x60,1,41
70x70,1,59
80x80,1,79
90x90,1,113
100x100,2,97
10x10,2,1
20x20,2,3
30x30,2,6
40x40,2,10
50x50,2,19
60x60,2,28
70x70,2,41
80x80,2,55
90x90,2,81
100x100,3,94
10x10,3,1
20x20,3,2
30x30,3,6
40x40,3,10
50x50,3,18
60x60,3,27
70x70,3,38
80x80,3,52
90x90,3,71
100x100,4,88
10x10,4,0
20x20,4,3
30x30,4,5
40x40,4,9
50x50,4,16
60x60,4,24
70x70,4,36
80x80,4,48
90x90,4,68
100x100,1,135
10x10,1,1
20x20,1,4
30x30,1,9
40x40,1,16
50x50,1,29
60x60,1,42
70x70,1,59
80x80,1,79
90x90,1,107
100x100,2,98
10x10,2,0
20x20,2,3
30x30,2,6
40x40,2,11
50x50,2,19
60x60,2,29
70x70,2,41
80x80,2,54
90x90,2,74
100x100,3,91
10x10,3,1
20x20,3,2
30x30,3,6
40x40,3,10
50x50,3,18
60x60,3,26
70x70,3,39
80x80,3,52
90x90,3,80
100x100,4,89
10x10,4,1
20x20,4,2
30x30,4,5
40x40,4,9
50x50,4,16
60x60,4,25
70x70,4,36
80x80,4,48
90x90,4,71
100x100,1,133
10x10,1,1
20x20,1,4
30x30,1,10
40x40,1,16
50x50,1,29
60x60,1,41
70x70,1,59
80x80,1,78
90x90,1,108
100x100,2,97
10x10,2,1
20x20,2,2
30x30,2,6
40x40,2,11
50x50,2,19
60x60,2,29
70x70,2,41
80x80,2,55
90x90,2,83
100x100,3,92
10x10,3,1
20x20,3,2
30x30,3,6
40x40,3,9
50x50,3,18
60x60,3,27
70x70,3,39
80x80,3,53
90x90,3,83
100x100,4,87
10x10,4,1
20x20,4,2
30x30,4,5
40x40,4,9
50x50,4,16
60x60,4,25
70x70,4,37
80x80,4,48
90x90,4,73
100x100,1,132
10x10,1,1
20x20,1,4
30x30,1,9
40x40,1,16
50x50,1,28
60x60,1,42
70x70,1,58
80x80,1,78
90x90,1,114
100x100,2,96
10x10,2,1
20x20,2,2
30x30,2,6
40x40,2,11
50x50,2,20
60x60,2,29
70x70,2,40
80x80,2,55
90x90,2,80
100x100,3,91
10x10,3,1
20x20,3,2
30x30,3,6
40x40,3,9
50x50,3,18
60x60,3,27
70x70,3,39
80x80,3,53
90x90,3,80
100x100,4,85
10x10,4,0
20x20,4,3
30x30,4,5
40x40,4,9
50x50,4,16
60x60,4,25
70x70,4,37
80x80,4,48
90x90,4,75
100x100,1,134
10x10,1,1
20x20,1,4
30x30,1,10
40x40,1,16
50x50,1,29
60x60,1,43
70x70,1,60
80x80,1,79
90x90,1,112
100x100,2,100
10x10,2,1
20x20,2,2
30x30,2,6
40x40,2,11
50x50,2,19
60x60,2,29
70x70,2,41
80x80,2,55
90x90,2,83
100x100,3,90
10x10,3,0
20x20,3,3
30x30,3,5
40x40,3,10
50x50,3,18
60x60,3,27
70x70,3,38
80x80,3,53
90x90,3,69
100x100,4,86
10x10,4,1
20x20,4,3
30x30,4,5
40x40,4,9
50x50,4,16
60x60,4,25
70x70,4,36
80x80,4,48
90x90,4,77
100x100,1,133
10x10,1,1
20x20,1,5
30x30,1,9
40x40,1,16
50x50,1,28
60x60,1,42
70x70,1,58
80x80,1,78
90x90,1,115
100x100,2,97
10x10,2,1
20x20,2,3
30x30,2,6
40x40,2,11
50x50,2,18
60x60,2,28
70x70,2,41
80x80,2,55
90x90,2,79
100x100,3,92
10x10,3,0
20x20,3,3
30x30,3,5
40x40,3,10
50x50,3,18
60x60,3,27
70x70,3,39
80x80,3,52
90x90,3,78
100x100,4,85
10x10,4,0
20x20,4,3
30x30,4,5
40x40,4,8
50x50,4,16
60x60,4,25
70x70,4,35
80x80,4,48
90x90,4,75
100x100,1,133
10x10,1,1
20x20,1,4
30x30,1,9
40x40,1,17
50x50,1,28
60x60,1,42
70x70,1,59
80x80,1,79
90x90,1,113
100x100,2,99
10x10,2,1
20x20,2,3
30x30,2,6
40x40,2,10
50x50,2,18
60x60,2,29
70x70,2,41
80x80,2,55
90x90,2,87
100x100,3,91
10x10,3,0
20x20,3,2
30x30,3,5
40x40,3,10
50x50,3,18
60x60,3,27
70x70,3,40
80x80,3,52
90x90,3,80
100x100,4,85
10x10,4,1
20x20,4,2
30x30,4,5
40x40,4,9
50x50,4,16
60x60,4,25
70x70,4,36
80x80,4,48
90x90,4,78
100x100,1,135
10x10,1,1
20x20,1,4
30x30,1,10
40x40,1,16
50x50,1,28
60x60,1,41
70x70,1,59
80x80,1,79
90x90,1,107
100x100,2,97
10x10,2,1
20x20,2,2
30x30,2,6
40x40,2,11
50x50,2,19
60x60,2,29
70x70,2,40
80x80,2,55
90x90,2,79
100x100,3,91
10x10,3,1
20x20,3,2
30x30,3,6
40x40,3,10
50x50,3,18
60x60,3,26
70x70,3,40
80x80,3,52
90x90,3,79
100x100,4,85
10x10,4,0
20x20,4,2
30x30,4,5
40x40,4,10
50x50,4,16
60x60,4,25
70x70,4,36
80x80,4,48
90x90,4,69
100x100,1,133
10x10,1,1
20x20,1,4
30x30,1,9
40x40,1,16
50x50,1,28
60x60,1,42
70x70,1,59
80x80,1,78
90x90,1,115
100x100,2,97
10x10,2,1
20x20,2,2
30x30,2,6
40x40,2,11
50x50,2,18
60x60,2,29
70x70,2,41
80x80,2,55
90x90,2,84
100x100,3,92
10x10,3,1
20x20,3,2
30x30,3,6
40x40,3,10
50x50,3,17
60x60,3,27
70x70,3,39
80x80,3,53
90x90,3,77
100x100,4,85
10x10,4,1
20x20,4,2
30x30,4,5
40x40,4,9
50x50,4,17
60x60,4,25
70x70,4,36
80x80,4,48
90x90,4,72
100x100,1,133
10x10,1,1
20x20,1,4
30x30,1,9
40x40,1,16
50x50,1,28
60x60,1,42
70x70,1,59
80x80,1,78
90x90,1,116
100x100,2,98
10x10,2,0
20x20,2,3
30x30,2,6
40x40,2,11
50x50,2,19
60x60,2,28
70x70,2,41
80x80,2,56
90x90,2,85
100x100,3,91
10x10,3,1
20x20,3,2
30x30,3,6
40x40,3,10
50x50,3,18
60x60,3,27
70x70,3,39
80x80,3,52
90x90,3,73
100x100,4,88
10x10,4,0
20x20,4,3
30x30,4,5
40x40,4,9
50x50,4,16
60x60,4,25
70x70,4,40
80x80,4,49
90x90,4,75
