resolution,time (seconds)
10x10,12
20x20,24
30x30,58
40x40,133
50x50,257
60x60,358
10x10,7
20x20,18
30x30,50
40x40,128
50x50,392
60x60,1141
10x10,7
20x20,18
30x30,53
40x40,149
50x50,495
60x60,2288
10x10,8
20x20,17
30x30,58
40x40,341
50x50,240
60x60,850
10x10,9
20x20,17
30x30,51
40x40,131
50x50,1115
60x60,1122
10x10,7
20x20,17
30x30,50
40x40,158
50x50,233
60x60,810
10x10,6
20x20,16
30x30,47
40x40,145
50x50,377
60x60,447
10x10,6
20x20,17
30x30,52
40x40,112
50x50,1186
60x60,437
10x10,9
20x20,17
30x30,59
40x40,455
50x50,248
60x60,1083
10x10,7
20x20,16
30x30,54
40x40,123
50x50,259
60x60,1325
