resolution,time (seconds)
10x10,5
20x20,13
30x30,41
40x40,126
50x50,827
60x60,621
10x10,6
20x20,17
30x30,57
40x40,782
50x50,234
60x60,500
10x10,6
20x20,15
30x30,50
40x40,215
50x50,1046
60x60,928
10x10,8
20x20,18
30x30,57
40x40,118
50x50,566
60x60,1373
10x10,13
20x20,17
30x30,79
40x40,374
50x50,239
60x60,1144
10x10,6
20x20,16
30x30,47
40x40,140
50x50,892
60x60,779
10x10,6
20x20,15
30x30,50
40x40,131
50x50,1378
60x60,475
10x10,5
20x20,16
30x30,50
40x40,177
50x50,943
60x60,1047
10x10,8
20x20,16
30x30,54
40x40,139
50x50,249
60x60,764
10x10,8
20x20,16
30x30,58
40x40,125
50x50,1046
60x60,484
