resolution,time (seconds)
10x10,84
20x20,250
30x30,497
40x40,1047
50x50,1791
60x60,2884
10x10,70
20x20,202
30x30,481
40x40,907
50x50,1270
60x60,1868
10x10,63
20x20,188
30x30,417
40x40,800
50x50,2598
60x60,1966
10x10,67
20x20,194
30x30,412
40x40,1115
50x50,1696
60x60,3126
10x10,63
20x20,189
30x30,432
40x40,748
50x50,4019
60x60,4990
10x10,73
20x20,191
30x30,429
40x40,925
50x50,1271
60x60,1979
10x10,65
20x20,192
30x30,421
40x40,738
50x50,4578
60x60,3901
10x10,65
20x20,192
30x30,430
40x40,915
50x50,6199
60x60,1701
10x10,78
20x20,249
30x30,542
40x40,983
50x50,1853
60x60,6287
10x10,73
20x20,210
30x30,443
40x40,1062
50x50,1552
60x60,2877
